name,uid,code,parent,shortName,level,openingDate
rwandaCountry Country,rwandaCountry Country,rwandaCountry Country,Rwanda,rwandaCountry,1,01-01-00
East Province,East Province,East Province,rwandaCountry Country,East,2,01-01-00
Bugesera District,Bugesera District,Bugesera District,East Province,Bugesera,3,01-01-00
Gashora Sector,Gashora Sector,Gashora Sector,Bugesera District,Gashora,4,01-01-00
Biryogo Cell,Biryogo Cell,Biryogo Cell,Gashora Sector,Biryogo,5,01-01-00
Bidudu Village,Bidudu Village,Bidudu Village,Biryogo Cell,Bidudu,6,01-01-00
Biryogo Village,Biryogo Village,Biryogo Village,Biryogo Cell,Biryogo,6,01-01-00
Buhoro Village,Buhoro Village,Buhoro Village,Biryogo Cell,Buhoro,6,01-01-00
Gihanama Village,Gihanama Village,Gihanama Village,Biryogo Cell,Gihanama,6,01-01-00
Kagarama Village,Kagarama Village,Kagarama Village,Biryogo Cell,Kagarama,6,01-01-00
Kanyonyomba Village,Kanyonyomba Village,Kanyonyomba Village,Biryogo Cell,Kanyonyomba,6,01-01-00
Karutete Village,Karutete Village,Karutete Village,Biryogo Cell,Karutete,6,01-01-00
Kivugiza Village,Kivugiza Village,Kivugiza Village,Biryogo Cell,Kivugiza,6,01-01-00
Rugunga Village,Rugunga Village,Rugunga Village,Biryogo Cell,Rugunga,6,01-01-00
Kabuye Cell,Kabuye Cell,Kabuye Cell,Gashora Sector,Kabuye,5,01-01-00
Bidudu Village,Bidudu Village,Bidudu Village,Kabuye Cell,Bidudu,6,01-01-00
Kabuye Village,Kabuye Village,Kabuye Village,Kabuye Cell,Kabuye,6,01-01-00
Karizinge Village,Karizinge Village,Karizinge Village,Kabuye Cell,Karizinge,6,01-01-00
Rwagasiga Village,Rwagasiga Village,Rwagasiga Village,Kabuye Cell,Rwagasiga,6,01-01-00
Rweteto Village,Rweteto Village,Rweteto Village,Kabuye Cell,Rweteto,6,01-01-00
Kagomasi Cell,Kagomasi Cell,Kagomasi Cell,Gashora Sector,Kagomasi,5,01-01-00
Akagako Village,Akagako Village,Akagako Village,Kagomasi Cell,Akagako,6,01-01-00
Kagomasi Village,Kagomasi Village,Kagomasi Village,Kagomasi Cell,Kagomasi,6,01-01-00
Kiruhura Village,Kiruhura Village,Kiruhura Village,Kagomasi Cell,Kiruhura,6,01-01-00
Kuruganda Village,Kuruganda Village,Kuruganda Village,Kagomasi Cell,Kuruganda,6,01-01-00
Runzenze Village,Runzenze Village,Runzenze Village,Kagomasi Cell,Runzenze,6,01-01-00
Rushubi Village,Rushubi Village,Rushubi Village,Kagomasi Cell,Rushubi,6,01-01-00
Mwendo Cell,Mwendo Cell,Mwendo Cell,Gashora Sector,Mwendo,5,01-01-00
Gaharwa Village,Gaharwa Village,Gaharwa Village,Mwendo Cell,Gaharwa,6,01-01-00
Gisenyi Village,Gisenyi Village,Gisenyi Village,Mwendo Cell,Gisenyi,6,01-01-00
Kayovu Village,Kayovu Village,Kayovu Village,Mwendo Cell,Kayovu,6,01-01-00
Ruhanga Village,Ruhanga Village,Ruhanga Village,Mwendo Cell,Ruhanga,6,01-01-00
Ruhanura Village,Ruhanura Village,Ruhanura Village,Mwendo Cell,Ruhanura,6,01-01-00
Rutanga Village,Rutanga Village,Rutanga Village,Mwendo Cell,Rutanga,6,01-01-00
Ramiro Cell,Ramiro Cell,Ramiro Cell,Gashora Sector,Ramiro,5,01-01-00
Dihiro Village,Dihiro Village,Dihiro Village,Ramiro Cell,Dihiro,6,01-01-00
Kagasa I Village,Kagasa I Village,Kagasa I Village,Ramiro Cell,Kagasa I,6,01-01-00
Kagasa II Village,Kagasa II Village,Kagasa II Village,Ramiro Cell,Kagasa II,6,01-01-00
Karusine I Village,Karusine I Village,Karusine I Village,Ramiro Cell,Karusine I,6,01-01-00
Karusine II Village,Karusine II Village,Karusine II Village,Ramiro Cell,Karusine II,6,01-01-00
Migina Village,Migina Village,Migina Village,Ramiro Cell,Migina,6,01-01-00
Munyinya Village,Munyinya Village,Munyinya Village,Ramiro Cell,Munyinya,6,01-01-00
Rweru I Village,Rweru I Village,Rweru I Village,Ramiro Cell,Rweru I,6,01-01-00
Rweru II Village,Rweru II Village,Rweru II Village,Ramiro Cell,Rweru II,6,01-01-00
Juru Sector,Juru Sector,Juru Sector,Bugesera District,Juru,4,01-01-00
Juru Cell,Juru Cell,Juru Cell,Juru Sector,Juru,5,01-01-00
Ayabakiza Village,Ayabakiza Village,Ayabakiza Village,Juru Cell,Ayabakiza,6,01-01-00
Bisagara Village,Bisagara Village,Bisagara Village,Juru Cell,Bisagara,6,01-01-00
Nyamigende Village,Nyamigende Village,Nyamigende Village,Juru Cell,Nyamigende,6,01-01-00
Rugarama Village,Rugarama Village,Rugarama Village,Juru Cell,Rugarama,6,01-01-00
